label,timestamp1,timestamp2,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,ToF
19524-testCPR-mforce-correct_fp,650954,650968,175.0,227.0,3353.0,195.0,225.0,1230.0,178.0,180.0,71.0
19524-testCPR-mforce-correct_fp,650969,650983,175.0,223.0,3092.0,194.0,228.0,1442.0,178.0,180.0,72.0
19524-testCPR-mforce-correct_fp,650984,650998,175.0,218.0,2758.0,195.0,228.0,1782.0,178.0,180.0,71.0
19524-testCPR-mforce-correct_fp,650998,651012,175.0,217.0,2731.0,196.0,226.0,1730.0,178.0,180.0,71.0
19524-testCPR-mforce-correct_fp,651013,651027,175.0,219.0,3356.0,198.0,232.0,2004.0,178.0,180.0,72.0
19524-testCPR-mforce-correct_fp,651027,651041,175.0,220.0,3700.0,201.0,241.0,2500.0,178.0,180.0,69.0
19524-testCPR-mforce-correct_fp,651042,651056,175.0,220.0,3748.0,204.0,246.0,2805.0,178.0,180.0,72.0
19524-testCPR-mforce-correct_fp,651057,651071,175.0,221.0,3781.0,207.0,258.0,3037.0,178.0,180.0,71.0
19524-testCPR-mforce-correct_fp,651071,651085,175.0,220.0,3803.0,211.0,270.0,3216.0,178.0,180.0,72.0
19524-testCPR-mforce-correct_fp,651086,651100,175.0,223.0,3827.0,213.0,280.0,3266.0,177.0,180.0,72.0
19524-testCPR-mforce-correct_fp,651100,651114,175.0,225.0,3832.0,211.0,290.0,3321.0,178.0,180.0,70.0
19524-testCPR-mforce-correct_fp,651115,651129,175.0,228.0,3819.0,207.0,311.0,3383.0,178.0,180.0,71.0
19524-testCPR-mforce-correct_fp,651129,651143,176.0,244.0,3842.0,205.0,525.0,3428.0,179.0,180.0,71.0
19524-testCPR-mforce-correct_fp,651144,651158,175.0,299.0,3867.0,205.0,991.0,3463.0,180.0,181.0,70.0
19524-testCPR-mforce-correct_fp,651159,651173,176.0,718.0,3879.0,205.0,1599.0,3491.0,181.0,181.0,70.0
19524-testCPR-mforce-correct_fp,651173,651187,175.0,790.0,3887.0,206.0,1701.0,3502.0,180.0,180.0,70.0
19524-testCPR-mforce-correct_fp,651188,651202,175.0,587.0,3896.0,211.0,1320.0,3491.0,180.0,181.0,68.0
19524-testCPR-mforce-correct_fp,651202,651216,176.0,324.0,3893.0,216.0,975.0,3463.0,180.0,180.0,72.0
19524-testCPR-mforce-correct_fp,651217,651231,175.0,262.0,3888.0,218.0,694.0,3435.0,179.0,180.0,71.0
19524-testCPR-mforce-correct_fp,651232,651246,175.0,269.0,3893.0,221.0,714.0,3432.0,179.0,180.0,68.0
19524-testCPR-mforce-correct_fp,651246,651260,176.0,365.0,3910.0,226.0,1274.0,3460.0,179.0,180.0,69.0
19524-testCPR-mforce-correct_fp,651261,651275,175.0,891.0,3929.0,230.0,1756.0,3476.0,179.0,180.0,70.0
19524-testCPR-mforce-correct_fp,651275,651289,176.0,1899.0,3947.0,234.0,2062.0,3516.0,180.0,180.0,67.0
19524-testCPR-mforce-correct_fp,651290,651304,176.0,2557.0,3971.0,239.0,2472.0,3537.0,181.0,180.0,69.0
19524-testCPR-mforce-correct_fp,651305,651319,176.0,2807.0,3993.0,249.0,2803.0,3565.0,183.0,180.0,67.0
19524-testCPR-mforce-correct_fp,651319,651333,176.0,2949.0,4013.0,271.0,2961.0,3624.0,183.0,179.0,62.0
19524-testCPR-mforce-correct_fp,651334,651348,175.0,3083.0,4022.0,295.0,3080.0,3696.0,182.0,179.0,58.0
19524-testCPR-mforce-correct_fp,651348,651362,175.0,3257.0,4031.0,417.0,3148.0,3757.0,182.0,179.0,56.0
19524-testCPR-mforce-correct_fp,651363,651377,175.0,3362.0,4039.0,987.0,3189.0,3806.0,183.0,179.0,52.0
19524-testCPR-mforce-correct_fp,651377,651391,175.0,3417.0,4038.0,1401.0,3229.0,3843.0,183.0,179.0,51.0
19524-testCPR-mforce-correct_fp,651392,651406,175.0,3429.0,4038.0,1620.0,3255.0,3864.0,182.0,179.0,49.0
19524-testCPR-mforce-correct_fp,651407,651421,175.0,3396.0,4035.0,1677.0,3279.0,3886.0,182.0,178.0,50.0
19524-testCPR-mforce-correct_fp,651421,651435,175.0,3343.0,4034.0,1730.0,3279.0,3897.0,181.0,179.0,50.0
19524-testCPR-mforce-correct_fp,651436,651450,175.0,3296.0,4032.0,1608.0,3277.0,3894.0,181.0,178.0,51.0
