label,timestamp1,timestamp2,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,ToF
14524-testCPR-tooHigh,32252,32266,226.0,219.0,219.0,224.0,230.0,235.0,224.0,229.0,65.0
14524-testCPR-tooHigh,32267,32281,226.0,219.0,219.0,224.0,230.0,235.0,224.0,229.0,64.0
14524-testCPR-tooHigh,32281,32296,226.0,219.0,219.0,225.0,230.0,235.0,224.0,229.0,68.0
14524-testCPR-tooHigh,32296,32311,227.0,220.0,220.0,225.0,231.0,236.0,225.0,230.0,66.0
14524-testCPR-tooHigh,32311,32325,227.0,220.0,220.0,225.0,231.0,235.0,225.0,229.0,65.0
14524-testCPR-tooHigh,32325,32340,226.0,220.0,219.0,225.0,231.0,235.0,224.0,229.0,66.0
14524-testCPR-tooHigh,32340,32354,226.0,219.0,219.0,225.0,230.0,235.0,224.0,229.0,64.0
14524-testCPR-tooHigh,32355,32369,226.0,219.0,219.0,224.0,231.0,235.0,224.0,228.0,66.0
14524-testCPR-tooHigh,32370,32384,226.0,219.0,219.0,225.0,230.0,235.0,224.0,229.0,64.0
14524-testCPR-tooHigh,32384,32399,227.0,220.0,220.0,225.0,231.0,236.0,225.0,229.0,63.0
14524-testCPR-tooHigh,32399,32414,226.0,220.0,220.0,225.0,231.0,235.0,225.0,229.0,66.0
14524-testCPR-tooHigh,32414,32428,227.0,220.0,220.0,225.0,231.0,236.0,225.0,230.0,65.0
14524-testCPR-tooHigh,32429,32443,227.0,220.0,220.0,226.0,232.0,236.0,225.0,230.0,64.0
14524-testCPR-tooHigh,32444,32458,227.0,220.0,220.0,226.0,231.0,236.0,225.0,230.0,64.0
14524-testCPR-tooHigh,32458,32473,227.0,221.0,221.0,226.0,232.0,237.0,226.0,230.0,62.0
14524-testCPR-tooHigh,32473,32487,228.0,222.0,222.0,226.0,233.0,237.0,226.0,231.0,65.0
14524-testCPR-tooHigh,32487,32501,231.0,224.0,224.0,229.0,235.0,239.0,228.0,232.0,62.0
14524-testCPR-tooHigh,32502,32516,232.0,225.0,225.0,231.0,236.0,241.0,230.0,235.0,62.0
14524-testCPR-tooHigh,32516,32530,232.0,224.0,224.0,230.0,236.0,240.0,229.0,234.0,60.0
14524-testCPR-tooHigh,32530,32544,231.0,225.0,224.0,230.0,236.0,240.0,229.0,234.0,60.0
14524-testCPR-tooHigh,32544,32558,231.0,224.0,224.0,229.0,235.0,239.0,229.0,234.0,62.0
14524-testCPR-tooHigh,32559,32573,231.0,224.0,224.0,229.0,234.0,239.0,229.0,233.0,60.0
14524-testCPR-tooHigh,32573,32587,231.0,224.0,223.0,229.0,234.0,238.0,229.0,234.0,61.0
14524-testCPR-tooHigh,32587,32601,231.0,224.0,223.0,229.0,234.0,238.0,228.0,233.0,62.0
14524-testCPR-tooHigh,32601,32615,232.0,224.0,224.0,229.0,235.0,239.0,229.0,234.0,60.0
14524-testCPR-tooHigh,32616,32630,231.0,224.0,224.0,229.0,235.0,238.0,229.0,234.0,59.0
14524-testCPR-tooHigh,32630,32644,231.0,223.0,224.0,229.0,234.0,239.0,229.0,234.0,57.0
14524-testCPR-tooHigh,32644,32658,230.0,223.0,223.0,228.0,233.0,237.0,228.0,233.0,56.0
14524-testCPR-tooHigh,32659,32672,230.0,223.0,223.0,228.0,233.0,238.0,228.0,232.0,53.0
14524-testCPR-tooHigh,32673,32687,230.0,223.0,222.0,229.0,234.0,236.0,227.0,232.0,51.0
