label,timestamp1,timestamp2,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,ToF
14524-testCPR,8527,8541,1635.0,4011.0,4052.0,3995.0,4044.0,4041.0,1455.0,2268.0,18.0
14524-testCPR,8541,8555,1739.0,4020.0,4057.0,4002.0,4052.0,4044.0,1573.0,2363.0,16.0
14524-testCPR,8556,8569,1822.0,4022.0,4052.0,4002.0,4052.0,4041.0,1691.0,2463.0,17.0
14524-testCPR,8570,8584,1871.0,4023.0,4054.0,4003.0,4054.0,4044.0,1807.0,2540.0,18.0
14524-testCPR,8584,8598,1859.0,4031.0,4062.0,4006.0,4058.0,4048.0,1925.0,2545.0,18.0
14524-testCPR,8598,8612,1754.0,4017.0,4055.0,3995.0,4054.0,4049.0,2017.0,2406.0,19.0
14524-testCPR,8613,8627,1507.0,3991.0,4040.0,3960.0,4049.0,4036.0,2004.0,1973.0,20.0
14524-testCPR,8627,8641,1114.0,3940.0,4018.0,3883.0,4040.0,4029.0,1852.0,903.0,23.0
14524-testCPR,8641,8655,502.0,3849.0,3964.0,3740.0,4025.0,4020.0,1500.0,297.0,27.0
14524-testCPR,8656,8670,304.0,3700.0,3864.0,3554.0,4002.0,3988.0,997.0,265.0,30.0
14524-testCPR,8670,8684,270.0,3486.0,3720.0,3434.0,3969.0,3952.0,434.0,253.0,36.0
14524-testCPR,8684,8698,243.0,3185.0,3555.0,3368.0,3911.0,3915.0,242.0,247.0,43.0
14524-testCPR,8699,8712,236.0,1823.0,3250.0,3264.0,3845.0,3886.0,240.0,246.0,49.0
14524-testCPR,8713,8727,242.0,321.0,1646.0,3167.0,3720.0,3846.0,241.0,246.0,54.0
14524-testCPR,8727,8741,237.0,279.0,329.0,3117.0,3458.0,3766.0,237.0,242.0,63.0
14524-testCPR,8741,8756,264.0,306.0,295.0,3136.0,3334.0,3760.0,258.0,267.0,65.0
14524-testCPR,8756,8771,244.0,280.0,272.0,2865.0,3267.0,3584.0,247.0,252.0,68.0
14524-testCPR,8771,8785,243.0,278.0,275.0,2817.0,3224.0,3535.0,246.0,253.0,68.0
14524-testCPR,8786,8800,245.0,278.0,293.0,2864.0,3329.0,3575.0,247.0,253.0,67.0
14524-testCPR,8800,8815,242.0,278.0,345.0,2979.0,3481.0,3665.0,243.0,249.0,63.0
14524-testCPR,8815,8829,249.0,290.0,958.0,3112.0,3614.0,3777.0,251.0,257.0,62.0
14524-testCPR,8830,8844,255.0,296.0,1327.0,3182.0,3706.0,3844.0,252.0,258.0,56.0
14524-testCPR,8844,8858,249.0,296.0,2189.0,3212.0,3757.0,3867.0,241.0,246.0,54.0
14524-testCPR,8858,8872,258.0,770.0,2993.0,3312.0,3840.0,3903.0,240.0,244.0,50.0
14524-testCPR,8873,8887,263.0,2167.0,3359.0,3412.0,3904.0,3939.0,242.0,244.0,44.0
14524-testCPR,8887,8901,265.0,3012.0,3584.0,3494.0,3946.0,3966.0,246.0,245.0,39.0
14524-testCPR,8901,8915,277.0,3364.0,3748.0,3596.0,3982.0,3991.0,252.0,248.0,33.0
14524-testCPR,8915,8929,314.0,3601.0,3872.0,3724.0,4001.0,4005.0,265.0,254.0,30.0
14524-testCPR,8930,8944,373.0,3768.0,3956.0,3847.0,4021.0,4014.0,305.0,266.0,25.0
14524-testCPR,8944,8958,466.0,3868.0,4001.0,3939.0,4029.0,4025.0,429.0,321.0,23.0
14524-testCPR,8958,8972,530.0,3914.0,4020.0,3985.0,4040.0,4026.0,637.0,951.0,21.0
14524-testCPR,8973,8987,693.0,3944.0,4032.0,4003.0,4045.0,4036.0,900.0,1778.0,20.0
14524-testCPR,8987,9001,773.0,3951.0,4026.0,4009.0,4052.0,4024.0,1136.0,2063.0,21.0
14524-testCPR,9001,9015,983.0,3963.0,4033.0,4002.0,4056.0,4029.0,1343.0,2074.0,20.0
14524-testCPR,9016,9030,1159.0,3977.0,4042.0,4002.0,4048.0,4040.0,1509.0,1874.0,21.0
14524-testCPR,9030,9044,1312.0,3968.0,4036.0,3985.0,4046.0,4039.0,1642.0,1626.0,19.0
14524-testCPR,9044,9058,1368.0,3972.0,4038.0,3978.0,4056.0,4045.0,1747.0,1311.0,20.0
14524-testCPR,9059,9072,1324.0,3958.0,4029.0,3954.0,4044.0,4037.0,1797.0,953.0,21.0
14524-testCPR,9073,9087,1201.0,3934.0,4017.0,3929.0,4045.0,4028.0,1797.0,522.0,22.0
14524-testCPR,9087,9101,974.0,3915.0,4004.0,3912.0,4059.0,4028.0,1756.0,351.0,22.0
14524-testCPR,9101,9115,555.0,3866.0,3987.0,3829.0,4046.0,4023.0,1583.0,298.0,24.0
14524-testCPR,9116,9129,344.0,3767.0,3924.0,3712.0,4024.0,4005.0,1269.0,275.0,26.0
14524-testCPR,9130,9144,297.0,3616.0,3829.0,3578.0,4000.0,3983.0,809.0,263.0,32.0
14524-testCPR,9144,9158,266.0,3394.0,3683.0,3468.0,3959.0,3952.0,299.0,256.0,36.0
14524-testCPR,9159,9173,245.0,3051.0,3520.0,3419.0,3909.0,3919.0,245.0,250.0,43.0
14524-testCPR,9173,9187,241.0,1066.0,3166.0,3327.0,3828.0,3888.0,241.0,247.0,49.0
14524-testCPR,9187,9201,241.0,309.0,732.0,3216.0,3657.0,3852.0,240.0,246.0,56.0
14524-testCPR,9201,9215,237.0,279.0,283.0,3170.0,3311.0,3787.0,237.0,243.0,61.0
14524-testCPR,9216,9230,247.0,287.0,276.0,3111.0,3097.0,3714.0,247.0,253.0,65.0
14524-testCPR,9230,9245,239.0,273.0,257.0,2970.0,2384.0,3624.0,242.0,247.0,65.0
14524-testCPR,9245,9260,236.0,267.0,250.0,2857.0,1329.0,3560.0,239.0,245.0,65.0
14524-testCPR,9260,9275,240.0,269.0,252.0,2862.0,904.0,3571.0,243.0,249.0,65.0
14524-testCPR,9275,9289,234.0,260.0,245.0,2788.0,899.0,3583.0,238.0,244.0,67.0
14524-testCPR,9290,9304,233.0,257.0,244.0,2773.0,1216.0,3623.0,236.0,242.0,64.0
14524-testCPR,9305,9319,233.0,256.0,245.0,2793.0,1861.0,3659.0,236.0,242.0,64.0
14524-testCPR,9319,9334,231.0,254.0,247.0,2832.0,2838.0,3706.0,234.0,240.0,63.0
14524-testCPR,9334,9349,233.0,256.0,257.0,2905.0,3247.0,3761.0,235.0,241.0,63.0
14524-testCPR,9349,9363,233.0,261.0,288.0,3012.0,3477.0,3819.0,235.0,240.0,57.0
14524-testCPR,9363,9377,239.0,275.0,946.0,3151.0,3642.0,3857.0,237.0,242.0,56.0
14524-testCPR,9378,9391,248.0,334.0,2720.0,3310.0,3781.0,3893.0,238.0,241.0,51.0
14524-testCPR,9392,9406,258.0,1493.0,3271.0,3475.0,3866.0,3925.0,239.0,242.0,44.0
14524-testCPR,9406,9420,259.0,2722.0,3534.0,3580.0,3927.0,3957.0,243.0,244.0,40.0
14524-testCPR,9421,9434,263.0,3249.0,3710.0,3651.0,3971.0,3975.0,247.0,246.0,35.0
14524-testCPR,9435,9449,284.0,3522.0,3835.0,3719.0,3996.0,3997.0,252.0,246.0,30.0
14524-testCPR,9449,9463,323.0,3722.0,3946.0,3835.0,4038.0,4019.0,280.0,256.0,24.0
14524-testCPR,9463,9477,332.0,3846.0,4002.0,3931.0,4056.0,4022.0,321.0,273.0,22.0
14524-testCPR,9478,9492,335.0,3894.0,4015.0,3972.0,4043.0,4036.0,356.0,297.0,17.0
14524-testCPR,9492,9506,335.0,3927.0,4036.0,4014.0,4053.0,4045.0,393.0,345.0,18.0
14524-testCPR,9506,9520,366.0,3980.0,4087.0,4048.0,4080.0,4075.0,449.0,454.0,20.0
14524-testCPR,9521,9535,378.0,3977.0,4049.0,4015.0,4043.0,4043.0,507.0,533.0,20.0
14524-testCPR,9535,9549,352.0,3947.0,4032.0,3995.0,4053.0,4049.0,488.0,376.0,21.0
14524-testCPR,9549,9563,370.0,3944.0,4036.0,3978.0,4051.0,4052.0,454.0,338.0,20.0
14524-testCPR,9564,9578,379.0,3925.0,4027.0,3948.0,4051.0,4044.0,405.0,318.0,23.0
14524-testCPR,9578,9592,362.0,3893.0,4008.0,3905.0,4049.0,4045.0,353.0,302.0,21.0
14524-testCPR,9592,9606,333.0,3841.0,3975.0,3844.0,4048.0,4035.0,315.0,288.0,23.0
14524-testCPR,9607,9621,310.0,3754.0,3924.0,3751.0,4039.0,4029.0,292.0,277.0,28.0
14524-testCPR,9621,9635,289.0,3606.0,3823.0,3604.0,4019.0,4011.0,276.0,267.0,27.0
14524-testCPR,9635,9649,274.0,3436.0,3705.0,3444.0,3997.0,3989.0,271.0,262.0,33.0
14524-testCPR,9649,9663,258.0,3191.0,3565.0,3311.0,3961.0,3960.0,262.0,258.0,39.0
14524-testCPR,9664,9678,245.0,2543.0,3370.0,3202.0,3914.0,3935.0,248.0,254.0,46.0
14524-testCPR,9678,9692,244.0,344.0,2168.0,3078.0,3839.0,3918.0,245.0,252.0,52.0
14524-testCPR,9692,9706,244.0,297.0,278.0,2960.0,3690.0,3884.0,244.0,250.0,58.0
14524-testCPR,9707,9721,243.0,283.0,263.0,2967.0,3418.0,3844.0,245.0,251.0,63.0
14524-testCPR,9721,9735,256.0,292.0,270.0,2984.0,3150.0,3815.0,255.0,264.0,62.0
14524-testCPR,9736,9750,255.0,288.0,267.0,2890.0,2853.0,3718.0,255.0,261.0,61.0
14524-testCPR,9750,9765,247.0,276.0,258.0,2795.0,2436.0,3639.0,252.0,256.0,66.0
14524-testCPR,9765,9779,251.0,277.0,258.0,2771.0,2155.0,3635.0,254.0,260.0,68.0
14524-testCPR,9780,9794,245.0,270.0,255.0,2713.0,2167.0,3621.0,249.0,255.0,71.0
14524-testCPR,9795,9809,245.0,269.0,257.0,2694.0,2760.0,3659.0,250.0,257.0,68.0
14524-testCPR,9809,9824,243.0,265.0,255.0,2669.0,3216.0,3675.0,249.0,257.0,68.0
14524-testCPR,9824,9839,241.0,264.0,258.0,2678.0,3428.0,3717.0,245.0,251.0,64.0
14524-testCPR,9839,9853,236.0,258.0,257.0,2692.0,3531.0,3746.0,236.0,241.0,64.0
14524-testCPR,9854,9868,238.0,264.0,277.0,2803.0,3619.0,3790.0,237.0,243.0,61.0
14524-testCPR,9868,9882,240.0,275.0,374.0,2953.0,3692.0,3824.0,237.0,242.0,56.0
14524-testCPR,9883,9896,247.0,298.0,1850.0,3096.0,3763.0,3864.0,240.0,245.0,59.0
14524-testCPR,9897,9911,252.0,356.0,2727.0,3206.0,3806.0,3889.0,241.0,246.0,53.0
14524-testCPR,9911,9925,252.0,748.0,3049.0,3299.0,3834.0,3904.0,238.0,242.0,51.0
14524-testCPR,9925,9939,255.0,1530.0,3260.0,3394.0,3867.0,3926.0,239.0,242.0,49.0
14524-testCPR,9940,9953,258.0,2307.0,3419.0,3490.0,3893.0,3948.0,242.0,245.0,43.0
14524-testCPR,9954,9968,256.0,2815.0,3534.0,3550.0,3932.0,3965.0,242.0,244.0,40.0
14524-testCPR,9968,9982,256.0,3143.0,3627.0,3565.0,3957.0,3972.0,242.0,242.0,36.0
14524-testCPR,9982,9996,274.0,3372.0,3737.0,3608.0,3984.0,3992.0,244.0,242.0,30.0
14524-testCPR,9997,10011,305.0,3589.0,3858.0,3700.0,4014.0,4009.0,258.0,249.0,28.0
14524-testCPR,10011,10025,325.0,3712.0,3921.0,3765.0,4019.0,4015.0,280.0,253.0,23.0
14524-testCPR,10025,10039,332.0,3789.0,3960.0,3842.0,4045.0,4025.0,298.0,256.0,20.0
14524-testCPR,10039,10053,339.0,3843.0,3993.0,3905.0,4044.0,4050.0,325.0,270.0,22.0
14524-testCPR,10054,10068,345.0,3881.0,4019.0,3960.0,4059.0,4052.0,354.0,293.0,20.0
14524-testCPR,10068,10082,318.0,3873.0,4011.0,3967.0,4044.0,4039.0,352.0,296.0,20.0
14524-testCPR,10083,10097,312.0,3878.0,4017.0,3974.0,4046.0,4045.0,348.0,303.0,21.0
14524-testCPR,10097,10111,302.0,3850.0,3997.0,3954.0,4044.0,4042.0,332.0,296.0,22.0
14524-testCPR,10111,10125,307.0,3848.0,4006.0,3955.0,4064.0,4044.0,320.0,291.0,24.0
14524-testCPR,10126,10139,304.0,3793.0,3968.0,3890.0,4042.0,4034.0,308.0,282.0,22.0
