label,timestamp1,timestamp2,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8
optimal,171210,171224,174,3857,3915,223,4039,3538,1126,1219
optimal,171225,171239,174,3856,3926,282,4043,3602,1389,1753
optimal,171240,171254,174,3839,3924,1061,4049,3654,1598,1850
optimal,171254,171268,174,3803,3923,1551,4051,3690,1747,1639
optimal,171269,171283,174,3766,3909,1565,4049,3714,1836,990
optimal,171809,171823,174,3728,4023,3608,4063,4001,1342,1730
optimal,171823,171837,174,3623,4026,3730,4065,4019,1131,2072
optimal,171838,171852,174,3561,4023,3741,4057,4019,809,1907
optimal,171853,171867,174,3526,4012,3722,4058,4016,489,1571
optimal,171867,171881,174,3506,3999,3665,4055,4007,264,1101
optimal,171882,171896,174,3462,3974,3594,4051,3998,236,287
optimal,171896,171910,174,3389,3945,3512,4042,3983,228,220
optimal,171911,171925,173,3287,3902,3397,4032,3961,214,198
optimal,171926,171940,174,3152,3856,3217,4011,3936,195,187
optimal,171940,171954,174,2872,3799,2884,3991,3908,183,182
optimal,171955,171969,174,1445,3646,2409,3965,3879,180,180
optimal,171969,171983,174,293,2490,1937,3937,3850,179,180
optimal,171984,171998,174,234,291,1501,3913,3826,178,179
optimal,171998,172012,173,211,205,964,3870,3800,177,179
optimal,172013,172027,174,199,181,260,3814,3757,176,178
optimal,172028,172042,174,196,175,206,3774,3689,176,178
optimal,172042,172056,173,194,173,193,3745,3622,176,179
optimal,172057,172071,173,193,172,186,3720,3570,175,178
optimal,172071,172085,174,192,171,183,3693,3519,175,178
optimal,172086,172100,173,191,170,181,3644,3458,175,178
optimal,172101,172115,174,190,170,179,3579,3404,175,178
optimal,172115,172129,173,190,170,179,3543,3377,175,178
optimal,172130,172144,174,189,170,178,3555,3372,175,178
optimal,172144,172158,174,189,170,178,3574,3368,175,178
optimal,172159,172173,174,189,170,178,3599,3378,175,178
optimal,172174,172188,173,188,170,178,3620,3380,175,178
optimal,172188,172202,173,188,170,177,3639,3391,175,178
optimal,172203,172217,173,187,170,177,3654,3398,175,178
optimal,172217,172231,173,187,170,177,3713,3429,174,178
optimal,172232,172246,173,187,170,177,3755,3472,175,178
optimal,172247,172261,174,188,170,179,3794,3530,175,178
optimal,172261,172275,174,191,174,185,3854,3602,175,178
optimal,172276,172290,174,207,193,195,3910,3657,175,178
optimal,172290,172304,174,1153,577,194,3959,3694,176,178
optimal,172305,172319,174,3327,3743,198,3992,3707,179,179
optimal,172320,172334,174,3685,3885,203,4017,3682,207,184
optimal,172334,172348,174,3835,3947,229,4030,3688,446,200
optimal,172349,172363,174,3891,3983,1874,4047,3804,831,258
optimal,172363,172377,174,3896,4003,3102,4058,3916,1132,1468
optimal,172378,172392,174,3835,4030,3638,4065,3986,1313,2464
optimal,172392,172406,174,3736,4031,3755,4063,4015,1273,2707
optimal,172407,172421,174,3679,4020,3740,4062,4015,1057,2464
optimal,172422,172436,174,3644,4012,3705,4061,4008,796,2152
optimal,172436,172450,174,3610,3992,3646,4059,4000,584,1762
optimal,172451,172465,174,3564,3973,3578,4055,3986,392,782
optimal,172465,172479,174,3500,3941,3481,4049,3973,248,237
optimal,172480,172494,174,3401,3901,3345,4044,3954,221,204
optimal,172495,172509,174,3247,3845,3150,4029,3930,200,190
optimal,172509,172523,174,2967,3769,2814,4009,3903,183,183
optimal,172524,172538,173,994,2824,2199,3985,3881,180,180
optimal,172538,172552,174,232,250,1196,3955,3860,178,179
optimal,172553,172567,174,211,194,298,3923,3845,178,179
optimal,172568,172582,173,200,178,225,3879,3823,177,179
optimal,172582,172596,173,196,172,201,3814,3767,176,179
optimal,172597,172611,173,194,170,191,3765,3683,176,179
optimal,172611,172625,174,192,170,185,3732,3607,176,179
optimal,172626,172640,173,191,169,183,3660,3504,176,178
optimal,172641,172655,173,190,169,181,3567,3402,175,179
optimal,172655,172669,173,189,169,180,3512,3316,175,178
optimal,172670,172684,173,189,169,179,3487,3266,175,178
optimal,172684,172698,173,189,169,179,3517,3258,175,178
optimal,172699,172713,173,188,169,178,3607,3298,175,178
optimal,172713,172727,173,188,169,178,3653,3333,175,178
optimal,172728,172742,174,188,169,177,3685,3354,175,178
optimal,172743,172757,173,187,169,177,3712,3377,175,178
optimal,172757,172771,174,187,169,177,3745,3419,175,178
optimal,172772,172786,173,187,169,177,3770,3466,175,178
optimal,172786,172800,173,186,169,178,3799,3517,175,178
optimal,172801,172815,173,187,169,179,3836,3562,175,178
optimal,172816,172830,174,192,172,184,3887,3613,175,178
optimal,172830,172844,174,218,187,181,3946,3643,175,178
optimal,172845,172859,174,2826,330,180,3985,3639,176,178
optimal,172859,172873,174,3501,3544,180,4009,3599,179,178
optimal,172874,172888,174,3702,3828,184,4027,3593,201,179
optimal,172889,172903,174,3785,3887,193,4038,3698,255,182
optimal,172903,172917,174,3814,3923,220,4051,3807,311,184
optimal,172918,172932,174,3813,3953,1730,4058,3903,347,189
optimal,172932,172946,174,3783,3975,2674,4058,3951,271,191
optimal,172947,172961,174,3746,3977,2808,4057,3968,229,188
optimal,172961,172975,174,3707,3964,2680,4058,3964,218,185
optimal,172976,172990,174,3688,3947,2482,4058,3950,218,184
optimal,172991,173005,174,3670,3928,2052,4055,3926,219,183
optimal,173005,173019,174,3645,3905,1412,4052,3907,217,182
optimal,173020,173034,174,3608,3887,442,4047,3889,211,181
optimal,173034,173048,174,3545,3858,253,4038,3876,200,180
optimal,173049,173063,174,3425,3820,226,4029,3860,188,180
optimal,173064,173078,174,3232,3724,206,4010,3841,179,179
optimal,173078,173092,174,2521,1793,193,3989,3821,177,178
optimal,173093,173107,174,241,216,189,3966,3805,176,178
optimal,173107,173121,174,211,186,186,3938,3791,176,178
optimal,173122,173136,174,203,178,185,3907,3780,176,178
optimal,173137,173151,173,196,173,184,3866,3759,176,178
optimal,173151,173165,173,193,170,181,3816,3712,175,178
optimal,173166,173180,173,192,169,178,3785,3649,176,178
optimal,173180,173194,174,191,169,178,3764,3591,175,178
optimal,173195,173209,173,190,169,177,3752,3541,175,178
optimal,173210,173224,173,189,168,177,3733,3497,175,178
optimal,173224,173238,173,189,169,177,3726,3469,175,178
optimal,173239,173253,174,188,168,176,3723,3460,175,178
optimal,173253,173267,173,188,169,176,3730,3457,175,178
optimal,173268,173282,174,188,169,176,3738,3464,175,178
optimal,173283,173297,173,187,168,176,3745,3472,175,178
optimal,173297,173311,174,187,168,176,3759,3483,175,178
optimal,173312,173326,174,187,168,176,3763,3495,175,178
optimal,173326,173340,174,186,168,176,3776,3516,175,178
optimal,173341,173355,173,187,168,178,3802,3555,175,178
optimal,173356,173370,173,189,171,183,3845,3610,174,178
optimal,173370,173384,174,200,183,193,3896,3671,175,178
optimal,173385,173399,174,586,257,196,3949,3703,176,178
optimal,173399,173413,174,3278,3688,200,3989,3714,179,179
optimal,173414,173428,174,3672,3877,205,4015,3689,200,183
optimal,173428,173442,174,3851,3955,237,4032,3682,478,212
optimal,173443,173457,173,3914,3992,2094,4045,3803,892,785
optimal,173458,173472,174,3906,4017,3251,4058,3931,1221,2179
optimal,173472,173486,174,3814,4035,3755,4063,4009,1431,2792
optimal,173487,173501,174,3672,4036,3850,4065,4030,1364,2809
optimal,173501,173515,174,3590,4031,3846,4063,4028,1056,2488
optimal,173516,173530,174,3575,4020,3820,4057,4027,741,2250
