label,timestamp1,timestamp2,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,ToF
19524-testCPR-optimal-fp,170160,170174,174.0,202.0,172.0,173.0,188.0,213.0,177.0,178.0,75.0
19524-testCPR-optimal-fp,170174,170188,173.0,201.0,172.0,173.0,186.0,212.0,177.0,178.0,73.0
19524-testCPR-optimal-fp,170189,170203,174.0,201.0,171.0,173.0,186.0,210.0,177.0,178.0,74.0
19524-testCPR-optimal-fp,170203,170217,174.0,201.0,172.0,173.0,185.0,209.0,178.0,178.0,74.0
19524-testCPR-optimal-fp,170218,170232,174.0,201.0,171.0,174.0,184.0,208.0,177.0,178.0,72.0
19524-testCPR-optimal-fp,170233,170247,174.0,201.0,171.0,173.0,185.0,209.0,177.0,178.0,75.0
19524-testCPR-optimal-fp,170247,170261,174.0,201.0,172.0,173.0,185.0,209.0,177.0,178.0,71.0
19524-testCPR-optimal-fp,170262,170276,174.0,200.0,172.0,173.0,185.0,209.0,177.0,178.0,74.0
19524-testCPR-optimal-fp,170276,170290,173.0,199.0,172.0,173.0,185.0,210.0,177.0,178.0,75.0
19524-testCPR-optimal-fp,170291,170305,173.0,200.0,172.0,173.0,185.0,210.0,177.0,178.0,73.0
19524-testCPR-optimal-fp,170306,170320,174.0,199.0,172.0,173.0,185.0,210.0,177.0,178.0,74.0
19524-testCPR-optimal-fp,170320,170334,174.0,200.0,172.0,173.0,185.0,210.0,178.0,178.0,74.0
19524-testCPR-optimal-fp,170335,170349,174.0,200.0,172.0,173.0,185.0,210.0,178.0,178.0,74.0
19524-testCPR-optimal-fp,170349,170363,174.0,200.0,172.0,173.0,184.0,209.0,178.0,178.0,73.0
19524-testCPR-optimal-fp,170364,170378,174.0,200.0,172.0,173.0,184.0,209.0,178.0,178.0,73.0
19524-testCPR-optimal-fp,170379,170393,174.0,200.0,172.0,173.0,184.0,210.0,178.0,178.0,73.0
19524-testCPR-optimal-fp,170393,170407,174.0,201.0,172.0,173.0,184.0,210.0,178.0,178.0,74.0
19524-testCPR-optimal-fp,170408,170422,174.0,201.0,172.0,173.0,194.0,216.0,178.0,178.0,74.0
19524-testCPR-optimal-fp,170422,170436,174.0,202.0,172.0,173.0,208.0,219.0,179.0,178.0,74.0
19524-testCPR-optimal-fp,170437,170451,174.0,203.0,172.0,173.0,222.0,219.0,179.0,178.0,75.0
19524-testCPR-optimal-fp,170452,170466,174.0,205.0,172.0,173.0,226.0,218.0,179.0,178.0,73.0
19524-testCPR-optimal-fp,170466,170480,174.0,206.0,172.0,174.0,216.0,218.0,180.0,178.0,74.0
19524-testCPR-optimal-fp,170481,170495,174.0,207.0,173.0,173.0,202.0,217.0,181.0,178.0,73.0
19524-testCPR-optimal-fp,170495,170509,174.0,206.0,173.0,173.0,192.0,216.0,181.0,178.0,74.0
19524-testCPR-optimal-fp,170510,170524,173.0,205.0,173.0,174.0,186.0,211.0,182.0,178.0,74.0
19524-testCPR-optimal-fp,170524,170538,174.0,204.0,173.0,173.0,185.0,209.0,183.0,178.0,73.0
19524-testCPR-optimal-fp,170539,170553,174.0,203.0,173.0,173.0,184.0,209.0,182.0,178.0,75.0
