label,timestamp1,timestamp2,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,ToF
stationary,138936,138950,274.0,280.0,277.0,269.0,269.0,288.0,274.0,294.0,77.0
stationary,138951,138964,319.0,319.0,319.0,319.0,319.0,272.0,319.0,278.0,79.0
stationary,138964,138979,241.0,240.0,240.0,241.0,241.0,243.0,241.0,241.0,77.0
stationary,138979,138994,261.0,264.0,275.0,261.0,265.0,283.0,277.0,287.0,78.0
stationary,138994,139009,252.0,257.0,257.0,254.0,260.0,254.0,257.0,257.0,76.0
stationary,139009,139023,247.0,249.0,254.0,246.0,254.0,274.0,260.0,265.0,73.0
stationary,139024,139038,259.0,252.0,250.0,253.0,256.0,246.0,246.0,248.0,78.0
stationary,139038,139053,263.0,269.0,269.0,270.0,283.0,272.0,260.0,271.0,75.0
stationary,139053,139068,267.0,264.0,280.0,265.0,282.0,277.0,272.0,279.0,73.0
stationary,139068,139082,258.0,258.0,252.0,267.0,256.0,248.0,250.0,258.0,70.0
stationary,139083,139097,254.0,260.0,262.0,246.0,241.0,271.0,260.0,267.0,75.0
stationary,139097,139112,272.0,274.0,268.0,266.0,265.0,261.0,264.0,268.0,71.0
stationary,139112,139127,225.0,227.0,230.0,224.0,229.0,234.0,235.0,236.0,75.0
stationary,139127,139141,253.0,244.0,241.0,248.0,248.0,243.0,240.0,239.0,74.0
stationary,139142,139156,247.0,257.0,238.0,253.0,259.0,223.0,227.0,223.0,73.0
stationary,139157,139171,265.0,275.0,263.0,252.0,254.0,262.0,269.0,261.0,75.0
stationary,139171,139186,244.0,253.0,258.0,245.0,246.0,241.0,253.0,246.0,71.0
stationary,139186,139200,254.0,253.0,259.0,255.0,259.0,255.0,252.0,255.0,74.0
stationary,139201,139215,266.0,266.0,259.0,261.0,262.0,246.0,253.0,250.0,76.0
stationary,139216,139230,263.0,266.0,268.0,264.0,264.0,264.0,267.0,265.0,69.0
stationary,139230,139245,252.0,252.0,252.0,252.0,252.0,253.0,253.0,253.0,71.0
stationary,139245,139260,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,72.0
stationary,139260,139275,246.0,246.0,246.0,246.0,246.0,247.0,246.0,246.0,70.0
stationary,139275,139289,250.0,250.0,249.0,250.0,251.0,250.0,248.0,248.0,69.0
stationary,139290,139304,247.0,246.0,245.0,248.0,248.0,244.0,244.0,243.0,72.0
stationary,139304,139319,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,73.0
stationary,139319,139334,239.0,240.0,239.0,239.0,238.0,240.0,239.0,240.0,73.0
stationary,139334,139349,255.0,258.0,258.0,250.0,248.0,265.0,260.0,260.0,70.0
stationary,139349,139364,250.0,248.0,241.0,248.0,248.0,241.0,240.0,239.0,72.0
stationary,139364,139378,218.0,219.0,220.0,217.0,217.0,222.0,221.0,221.0,77.0
stationary,139379,139393,237.0,238.0,231.0,244.0,244.0,224.0,228.0,226.0,75.0
stationary,139393,139408,243.0,248.0,243.0,240.0,242.0,242.0,248.0,249.0,75.0
stationary,139408,139423,243.0,241.0,243.0,242.0,243.0,245.0,245.0,245.0,71.0
stationary,139423,139437,259.0,257.0,258.0,259.0,258.0,255.0,256.0,256.0,73.0
stationary,139438,139452,257.0,255.0,252.0,260.0,258.0,253.0,250.0,250.0,73.0
stationary,139453,139467,247.0,248.0,248.0,246.0,246.0,248.0,248.0,248.0,72.0
stationary,139467,139482,246.0,245.0,236.0,244.0,246.0,233.0,235.0,234.0,74.0
stationary,139482,139497,237.0,239.0,241.0,240.0,247.0,235.0,248.0,250.0,74.0
stationary,139497,139511,247.0,244.0,246.0,242.0,249.0,246.0,251.0,249.0,75.0
stationary,139512,139526,275.0,273.0,279.0,275.0,279.0,265.0,279.0,270.0,76.0
stationary,139527,139541,261.0,260.0,257.0,269.0,269.0,256.0,257.0,256.0,71.0
stationary,139541,139556,287.0,282.0,276.0,279.0,272.0,274.0,272.0,274.0,73.0
stationary,139556,139572,277.0,282.0,283.0,279.0,279.0,274.0,280.0,282.0,74.0
stationary,139573,139587,253.0,251.0,255.0,255.0,259.0,265.0,255.0,264.0,75.0
stationary,139587,139602,283.0,277.0,272.0,285.0,287.0,260.0,260.0,256.0,72.0
