label,timestamp1,timestamp2,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,ToF
suboptimal-left-centered,824401,824415,177.0,2825.0,189.0,182.0,2092.0,2451.0,210.0,182.0,67.0
suboptimal-left-centered,824416,824430,177.0,2821.0,191.0,183.0,2193.0,2844.0,214.0,182.0,70.0
suboptimal-left-centered,824430,824444,177.0,2815.0,194.0,184.0,2344.0,3158.0,216.0,183.0,69.0
suboptimal-left-centered,824445,824459,177.0,2811.0,195.0,184.0,2347.0,3252.0,217.0,183.0,69.0
suboptimal-left-centered,824460,824474,177.0,2805.0,195.0,185.0,2344.0,3270.0,219.0,183.0,67.0
suboptimal-left-centered,824474,824488,177.0,2799.0,195.0,184.0,2440.0,3277.0,218.0,183.0,73.0
suboptimal-left-centered,824489,824503,177.0,2803.0,194.0,184.0,2635.0,3290.0,216.0,183.0,70.0
suboptimal-left-centered,824503,824517,177.0,2832.0,195.0,184.0,2839.0,3330.0,214.0,183.0,70.0
suboptimal-left-centered,824518,824532,177.0,2849.0,195.0,184.0,2915.0,3351.0,211.0,183.0,69.0
suboptimal-left-centered,824533,824547,177.0,2864.0,194.0,183.0,2943.0,3349.0,210.0,182.0,69.0
suboptimal-left-centered,824547,824561,177.0,2865.0,193.0,183.0,2927.0,3319.0,209.0,182.0,69.0
suboptimal-left-centered,824562,824576,177.0,2845.0,191.0,183.0,2756.0,3244.0,212.0,182.0,68.0
suboptimal-left-centered,824576,824590,177.0,2813.0,190.0,183.0,2137.0,3065.0,217.0,183.0,68.0
suboptimal-left-centered,824591,824605,177.0,2784.0,190.0,183.0,1661.0,2962.0,221.0,183.0,70.0
suboptimal-left-centered,824606,824620,177.0,2759.0,191.0,183.0,1661.0,2991.0,220.0,183.0,69.0
suboptimal-left-centered,824620,824634,177.0,2722.0,191.0,183.0,1879.0,3073.0,216.0,183.0,70.0
suboptimal-left-centered,824635,824649,177.0,2689.0,191.0,183.0,2091.0,3148.0,212.0,183.0,70.0
suboptimal-left-centered,824649,824663,177.0,2690.0,192.0,183.0,2262.0,3200.0,210.0,183.0,68.0
suboptimal-left-centered,824664,824678,177.0,2795.0,195.0,184.0,2633.0,3267.0,212.0,183.0,71.0
suboptimal-left-centered,824679,824693,177.0,2890.0,200.0,185.0,2841.0,3311.0,216.0,183.0,68.0
suboptimal-left-centered,824693,824707,177.0,2963.0,204.0,185.0,2903.0,3329.0,224.0,184.0,70.0
suboptimal-left-centered,824708,824722,177.0,3042.0,210.0,186.0,2959.0,3339.0,242.0,184.0,68.0
suboptimal-left-centered,824722,824736,177.0,3113.0,218.0,186.0,3010.0,3353.0,279.0,185.0,68.0
suboptimal-left-centered,824737,824751,177.0,3184.0,227.0,186.0,3046.0,3357.0,387.0,186.0,67.0
suboptimal-left-centered,824752,824766,177.0,3251.0,241.0,186.0,3048.0,3337.0,667.0,187.0,68.0
suboptimal-left-centered,824766,824780,177.0,3308.0,264.0,187.0,3047.0,3315.0,1083.0,187.0,66.0
suboptimal-left-centered,824781,824795,177.0,3358.0,320.0,186.0,3041.0,3297.0,1474.0,188.0,64.0
suboptimal-left-centered,824795,824809,177.0,3387.0,508.0,186.0,3025.0,3263.0,1814.0,187.0,66.0
suboptimal-left-centered,824810,824824,177.0,3401.0,614.0,186.0,2984.0,3211.0,2105.0,188.0,62.0
suboptimal-left-centered,824825,824839,177.0,3399.0,650.0,186.0,2917.0,3125.0,2357.0,189.0,67.0
suboptimal-left-centered,824839,824853,177.0,3395.0,756.0,186.0,2807.0,2947.0,2572.0,190.0,65.0
suboptimal-left-centered,824854,824868,177.0,3406.0,1148.0,187.0,2619.0,2719.0,2761.0,193.0,63.0
suboptimal-left-centered,824868,824882,177.0,3440.0,2020.0,187.0,2669.0,2461.0,2925.0,195.0,62.0
suboptimal-left-centered,824883,824897,178.0,3517.0,3196.0,186.0,2889.0,2178.0,3074.0,195.0,60.0
suboptimal-left-centered,824898,824912,179.0,3606.0,3754.0,184.0,3092.0,2051.0,3206.0,193.0,52.0
suboptimal-left-centered,824912,824926,180.0,3696.0,3879.0,184.0,3275.0,2335.0,3314.0,192.0,47.0
suboptimal-left-centered,824927,824941,183.0,3774.0,3930.0,184.0,3401.0,2717.0,3412.0,193.0,44.0
suboptimal-left-centered,824941,824955,185.0,3833.0,3961.0,187.0,3492.0,3092.0,3499.0,200.0,38.0
suboptimal-left-centered,824956,824970,184.0,3874.0,3996.0,192.0,3574.0,3331.0,3573.0,224.0,35.0
suboptimal-left-centered,824971,824985,183.0,3909.0,4017.0,204.0,3619.0,3467.0,3645.0,1355.0,32.0
suboptimal-left-centered,824985,824999,182.0,3920.0,4032.0,265.0,3639.0,3591.0,3705.0,2991.0,31.0
suboptimal-left-centered,825000,825014,181.0,3917.0,4042.0,2593.0,3644.0,3688.0,3756.0,3287.0,30.0
suboptimal-left-centered,825014,825028,180.0,3911.0,4048.0,3131.0,3646.0,3756.0,3798.0,3366.0,29.0
suboptimal-left-centered,825029,825043,180.0,3901.0,4047.0,3252.0,3644.0,3783.0,3828.0,3378.0,30.0
suboptimal-left-centered,825043,825057,179.0,3881.0,4043.0,3249.0,3630.0,3777.0,3854.0,3366.0,32.0
suboptimal-left-centered,825058,825072,179.0,3855.0,4039.0,3177.0,3612.0,3764.0,3871.0,3333.0,33.0
suboptimal-left-centered,825073,825087,179.0,3825.0,4030.0,3023.0,3584.0,3736.0,3879.0,3261.0,33.0
suboptimal-left-centered,825087,825101,179.0,3779.0,4015.0,2754.0,3554.0,3705.0,3884.0,3105.0,38.0
suboptimal-left-centered,825102,825116,179.0,3723.0,3999.0,1657.0,3497.0,3664.0,3878.0,2700.0,40.0
suboptimal-left-centered,825116,825130,179.0,3678.0,3979.0,264.0,3434.0,3614.0,3873.0,1323.0,44.0
suboptimal-left-centered,825131,825145,178.0,3630.0,3958.0,227.0,3327.0,3548.0,3862.0,266.0,49.0
suboptimal-left-centered,825146,825160,178.0,3567.0,3928.0,220.0,3192.0,3481.0,3850.0,242.0,51.0
suboptimal-left-centered,825160,825174,177.0,3497.0,3879.0,221.0,3070.0,3453.0,3832.0,234.0,55.0
suboptimal-left-centered,825175,825189,177.0,3421.0,3710.0,222.0,3035.0,3480.0,3808.0,227.0,58.0
suboptimal-left-centered,825189,825203,177.0,3329.0,2704.0,222.0,2979.0,3503.0,3774.0,221.0,61.0
suboptimal-left-centered,825204,825218,176.0,3205.0,893.0,218.0,2849.0,3502.0,3731.0,214.0,65.0
suboptimal-left-centered,825219,825233,176.0,3058.0,246.0,212.0,2559.0,3487.0,3584.0,206.0,66.0
suboptimal-left-centered,825233,825247,177.0,2938.0,226.0,207.0,2245.0,3471.0,3227.0,202.0,66.0
suboptimal-left-centered,825248,825262,177.0,2922.0,222.0,205.0,2190.0,3453.0,2863.0,200.0,70.0
suboptimal-left-centered,825262,825276,177.0,2911.0,219.0,203.0,2118.0,3441.0,2567.0,198.0,66.0
suboptimal-left-centered,825277,825291,177.0,2866.0,215.0,202.0,1793.0,3426.0,2320.0,197.0,67.0
suboptimal-left-centered,825292,825306,177.0,2783.0,212.0,202.0,1444.0,3417.0,2085.0,197.0,67.0
suboptimal-left-centered,825306,825320,177.0,2720.0,212.0,203.0,1206.0,3415.0,1871.0,197.0,68.0
suboptimal-left-centered,825321,825335,177.0,2723.0,215.0,205.0,1270.0,3428.0,1699.0,197.0,68.0
suboptimal-left-centered,825335,825349,177.0,2861.0,227.0,208.0,1647.0,3447.0,1620.0,200.0,63.0
suboptimal-left-centered,825350,825364,177.0,3040.0,260.0,212.0,2025.0,3454.0,1792.0,204.0,66.0
suboptimal-left-centered,825364,825378,177.0,3207.0,1155.0,216.0,2633.0,3460.0,2106.0,211.0,65.0
suboptimal-left-centered,825379,825393,177.0,3370.0,3338.0,213.0,3004.0,3460.0,2387.0,217.0,63.0
suboptimal-left-centered,825394,825408,177.0,3530.0,3882.0,201.0,3201.0,3441.0,2636.0,212.0,54.0
