label,timestamp1,timestamp2,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8
suboptimal-high-finger-placement,2099861,2099875,176,173,173,2395,181,225,177,180
suboptimal-high-finger-placement,2099876,2099890,175,173,173,2284,181,225,177,180
suboptimal-high-finger-placement,2099891,2099905,175,173,173,2247,181,224,177,180
suboptimal-high-finger-placement,2099905,2099919,175,173,173,2073,181,224,177,180
suboptimal-high-finger-placement,2099920,2099934,175,173,173,1983,181,223,177,180
suboptimal-high-finger-placement,2099934,2099948,175,173,173,1969,181,222,177,180
suboptimal-high-finger-placement,2099949,2099963,175,173,173,2020,181,221,177,180
suboptimal-high-finger-placement,2099963,2099977,175,173,173,2195,181,221,177,180
suboptimal-high-finger-placement,2099978,2099992,175,173,173,2571,181,221,177,180
suboptimal-high-finger-placement,2099993,2100007,175,173,173,2672,181,222,177,180
suboptimal-high-finger-placement,2100007,2100021,175,173,173,2708,181,222,177,180
suboptimal-high-finger-placement,2100022,2100036,175,173,173,2648,181,222,177,180
suboptimal-high-finger-placement,2100036,2100050,175,173,173,2684,181,223,177,180
suboptimal-high-finger-placement,2100051,2100065,175,173,173,2797,181,223,177,180
suboptimal-high-finger-placement,2100066,2100080,175,173,173,2841,181,221,177,181
suboptimal-high-finger-placement,2100080,2100094,175,173,173,2836,181,220,177,180
suboptimal-high-finger-placement,2100095,2100109,175,173,173,2777,181,219,177,180
suboptimal-high-finger-placement,2100109,2100123,175,173,173,2783,181,219,177,181
suboptimal-high-finger-placement,2100124,2100138,175,173,173,2884,181,220,177,181
suboptimal-high-finger-placement,2100139,2100153,176,173,173,2921,181,220,177,181
suboptimal-high-finger-placement,2100153,2100167,175,173,173,2973,181,220,177,181
suboptimal-high-finger-placement,2100168,2100182,175,173,173,2871,181,219,177,180
suboptimal-high-finger-placement,2100182,2100196,175,173,173,2681,182,218,177,181
suboptimal-high-finger-placement,2100197,2100211,175,173,173,2256,181,217,177,181
suboptimal-high-finger-placement,2100212,2100226,175,173,173,1421,181,216,177,181
suboptimal-high-finger-placement,2100562,2100576,175,173,173,256,182,589,177,180
suboptimal-high-finger-placement,2100576,2100590,176,173,173,299,185,1294,177,180
suboptimal-high-finger-placement,2100591,2100605,175,172,173,687,196,1765,177,180
suboptimal-high-finger-placement,2100605,2100619,176,172,173,1177,216,2086,177,180
suboptimal-high-finger-placement,2100620,2100634,176,172,173,1691,207,2281,177,180
suboptimal-high-finger-placement,2100635,2100649,176,173,173,2206,197,2357,177,180
suboptimal-high-finger-placement,2100649,2100663,176,173,173,2434,194,2353,177,180
suboptimal-high-finger-placement,2100664,2100678,176,172,173,2452,194,2311,177,180
suboptimal-high-finger-placement,2100678,2100692,176,173,173,2468,193,2271,177,180
suboptimal-high-finger-placement,2100693,2100707,176,173,173,2429,192,2227,177,180
suboptimal-high-finger-placement,2100708,2100722,176,173,173,2232,192,2171,177,180
suboptimal-high-finger-placement,2100722,2100736,176,173,173,1800,192,2087,177,180
suboptimal-high-finger-placement,2100737,2100751,176,173,173,987,190,1942,177,180
suboptimal-high-finger-placement,2100751,2100765,175,173,173,292,189,1734,177,180
suboptimal-high-finger-placement,2100766,2100780,176,173,173,248,188,1471,177,180
suboptimal-high-finger-placement,2100781,2100795,176,173,173,233,182,782,177,180
suboptimal-high-finger-placement,2101160,2101174,176,173,173,277,183,773,177,180
suboptimal-high-finger-placement,2101174,2101188,175,172,173,1395,188,2079,177,180
suboptimal-high-finger-placement,2101189,2101203,174,172,173,2415,199,2548,177,180
suboptimal-high-finger-placement,2101204,2101218,175,172,173,2839,235,2753,177,180
suboptimal-high-finger-placement,2101218,2101232,176,172,173,3133,206,2923,177,180
suboptimal-high-finger-placement,2101233,2101247,176,172,173,3293,201,3009,177,180
suboptimal-high-finger-placement,2101247,2101261,175,172,173,3340,202,3059,176,180
suboptimal-high-finger-placement,2101262,2101276,176,172,173,3329,201,3057,175,180
suboptimal-high-finger-placement,2101277,2101291,176,172,173,3284,199,3016,175,180
suboptimal-high-finger-placement,2101291,2101305,176,172,173,3211,198,2951,176,180
suboptimal-high-finger-placement,2101306,2101320,175,173,173,3110,196,2876,176,180
suboptimal-high-finger-placement,2101320,2101334,176,173,173,2924,194,2797,176,180
suboptimal-high-finger-placement,2101335,2101349,175,173,173,2683,193,2719,176,180
suboptimal-high-finger-placement,2101349,2101363,176,173,173,2408,192,2642,176,180
suboptimal-high-finger-placement,2101364,2101378,176,173,173,2069,190,2571,176,180
suboptimal-high-finger-placement,2101379,2101393,176,173,173,1560,189,2492,177,180
suboptimal-high-finger-placement,2101393,2101407,176,173,173,680,187,2400,176,180
suboptimal-high-finger-placement,2101408,2101422,176,173,173,258,186,2299,176,180
suboptimal-high-finger-placement,2101422,2101436,175,173,173,238,185,2026,177,180
suboptimal-high-finger-placement,2101656,2101670,175,172,173,238,187,846,177,180
suboptimal-high-finger-placement,2101671,2101685,175,172,173,313,193,1685,177,180
suboptimal-high-finger-placement,2101685,2101699,176,172,173,1297,219,2288,177,180
suboptimal-high-finger-placement,2101700,2101714,176,172,173,2124,199,2528,175,180
suboptimal-high-finger-placement,2101714,2101728,176,172,173,2416,197,2600,175,180
suboptimal-high-finger-placement,2101729,2101743,176,172,173,2302,196,2597,175,179
suboptimal-high-finger-placement,2101744,2101758,176,172,173,2307,195,2594,176,180
suboptimal-high-finger-placement,2101758,2101772,176,172,173,2366,194,2603,175,180
suboptimal-high-finger-placement,2101773,2101787,176,172,173,2294,194,2585,175,180
suboptimal-high-finger-placement,2101787,2101801,176,173,173,2083,193,2543,176,180
suboptimal-high-finger-placement,2101802,2101816,176,172,173,1734,191,2466,176,180
suboptimal-high-finger-placement,2101817,2101831,176,172,173,1200,190,2369,176,180
suboptimal-high-finger-placement,2101831,2101845,176,172,173,500,188,2208,176,179
suboptimal-high-finger-placement,2101846,2101860,175,173,173,266,187,1976,176,180
suboptimal-high-finger-placement,2101860,2101874,176,173,173,240,186,1713,176,180
suboptimal-high-finger-placement,2101875,2101889,176,173,173,226,185,1482,176,180
suboptimal-high-finger-placement,2101889,2101903,176,173,173,218,184,1387,176,180
suboptimal-high-finger-placement,2101904,2101918,176,173,173,215,185,1317,177,180
suboptimal-high-finger-placement,2101919,2101933,175,173,173,213,185,1224,176,180
suboptimal-high-finger-placement,2102196,2102210,175,172,173,238,203,555,176,180
suboptimal-high-finger-placement,2102210,2102224,176,172,173,256,205,1328,176,180
suboptimal-high-finger-placement,2102225,2102239,176,172,173,260,195,1286,175,180
suboptimal-high-finger-placement,2102240,2102254,176,172,173,251,194,1080,175,179
suboptimal-high-finger-placement,2102254,2102268,176,172,173,245,193,932,175,180
suboptimal-high-finger-placement,2102269,2102283,176,172,173,241,191,828,175,180
suboptimal-high-finger-placement,2102283,2102297,176,172,173,237,190,742,175,179
suboptimal-high-finger-placement,2102298,2102312,176,172,173,232,189,668,175,180
suboptimal-high-finger-placement,2102313,2102327,176,172,173,226,187,538,175,180
suboptimal-high-finger-placement,2102692,2102706,176,172,173,252,203,1266,176,179
suboptimal-high-finger-placement,2102706,2102720,176,172,173,312,196,1592,175,179
suboptimal-high-finger-placement,2102721,2102735,176,172,173,285,192,1497,175,179
suboptimal-high-finger-placement,2102736,2102750,176,172,173,266,192,1325,175,179
suboptimal-high-finger-placement,2102750,2102764,176,172,173,269,191,1232,175,180
suboptimal-high-finger-placement,2102765,2102779,176,172,173,289,190,1242,176,180
suboptimal-high-finger-placement,2102779,2102793,176,172,173,310,190,1282,175,179
suboptimal-high-finger-placement,2102794,2102808,176,173,173,328,190,1304,175,179
suboptimal-high-finger-placement,2102809,2102823,176,172,173,323,189,1296,175,180
suboptimal-high-finger-placement,2102823,2102837,176,172,173,295,189,1231,176,179
suboptimal-high-finger-placement,2102838,2102852,176,173,173,268,188,1114,175,179
suboptimal-high-finger-placement,2102852,2102866,176,172,173,247,186,964,175,180
suboptimal-high-finger-placement,2102867,2102881,176,172,173,231,185,739,176,179
suboptimal-high-finger-placement,2103249,2103263,176,173,173,1579,182,551,177,180
suboptimal-high-finger-placement,2103263,2103277,176,173,173,3066,182,2063,177,180
suboptimal-high-finger-placement,2103278,2103292,175,172,173,3536,189,2584,176,180
suboptimal-high-finger-placement,2103292,2103306,175,172,174,3751,217,2689,176,180
suboptimal-high-finger-placement,2103307,2103321,175,172,174,3867,234,2859,176,180
suboptimal-high-finger-placement,2103321,2103335,176,172,174,3923,220,2923,175,181
suboptimal-high-finger-placement,2103336,2103350,176,172,174,3924,214,2900,176,181
suboptimal-high-finger-placement,2103351,2103365,176,172,174,3912,213,2741,176,181
suboptimal-high-finger-placement,2103365,2103379,175,172,174,3880,209,2645,176,181
suboptimal-high-finger-placement,2103380,2103394,175,172,174,3839,203,2630,176,181
suboptimal-high-finger-placement,2103394,2103408,176,172,173,3768,198,2652,176,180
