label,timestamp1,timestamp2,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8
suboptimal-left-centered,824401,824415,177,2825,189,182,2092,2451,210,182
suboptimal-left-centered,824416,824430,177,2821,191,183,2193,2844,214,182
suboptimal-left-centered,824430,824444,177,2815,194,184,2344,3158,216,183
suboptimal-left-centered,824445,824459,177,2811,195,184,2347,3252,217,183
suboptimal-left-centered,824460,824474,177,2805,195,185,2344,3270,219,183
suboptimal-left-centered,824474,824488,177,2799,195,184,2440,3277,218,183
suboptimal-left-centered,824489,824503,177,2803,194,184,2635,3290,216,183
suboptimal-left-centered,824503,824517,177,2832,195,184,2839,3330,214,183
suboptimal-left-centered,824518,824532,177,2849,195,184,2915,3351,211,183
suboptimal-left-centered,824533,824547,177,2864,194,183,2943,3349,210,182
suboptimal-left-centered,824547,824561,177,2865,193,183,2927,3319,209,182
suboptimal-left-centered,824562,824576,177,2845,191,183,2756,3244,212,182
suboptimal-left-centered,824576,824590,177,2813,190,183,2137,3065,217,183
suboptimal-left-centered,824591,824605,177,2784,190,183,1661,2962,221,183
suboptimal-left-centered,824606,824620,177,2759,191,183,1661,2991,220,183
suboptimal-left-centered,824620,824634,177,2722,191,183,1879,3073,216,183
suboptimal-left-centered,824635,824649,177,2689,191,183,2091,3148,212,183
suboptimal-left-centered,824649,824663,177,2690,192,183,2262,3200,210,183
suboptimal-left-centered,824664,824678,177,2795,195,184,2633,3267,212,183
suboptimal-left-centered,824679,824693,177,2890,200,185,2841,3311,216,183
suboptimal-left-centered,824693,824707,177,2963,204,185,2903,3329,224,184
suboptimal-left-centered,824708,824722,177,3042,210,186,2959,3339,242,184
suboptimal-left-centered,824722,824736,177,3113,218,186,3010,3353,279,185
suboptimal-left-centered,824737,824751,177,3184,227,186,3046,3357,387,186
suboptimal-left-centered,824752,824766,177,3251,241,186,3048,3337,667,187
suboptimal-left-centered,824766,824780,177,3308,264,187,3047,3315,1083,187
suboptimal-left-centered,824781,824795,177,3358,320,186,3041,3297,1474,188
suboptimal-left-centered,824795,824809,177,3387,508,186,3025,3263,1814,187
suboptimal-left-centered,824810,824824,177,3401,614,186,2984,3211,2105,188
suboptimal-left-centered,824825,824839,177,3399,650,186,2917,3125,2357,189
suboptimal-left-centered,824839,824853,177,3395,756,186,2807,2947,2572,190
suboptimal-left-centered,824854,824868,177,3406,1148,187,2619,2719,2761,193
suboptimal-left-centered,824868,824882,177,3440,2020,187,2669,2461,2925,195
suboptimal-left-centered,824883,824897,178,3517,3196,186,2889,2178,3074,195
suboptimal-left-centered,824898,824912,179,3606,3754,184,3092,2051,3206,193
suboptimal-left-centered,824912,824926,180,3696,3879,184,3275,2335,3314,192
suboptimal-left-centered,824927,824941,183,3774,3930,184,3401,2717,3412,193
suboptimal-left-centered,824941,824955,185,3833,3961,187,3492,3092,3499,200
suboptimal-left-centered,824956,824970,184,3874,3996,192,3574,3331,3573,224
suboptimal-left-centered,824971,824985,183,3909,4017,204,3619,3467,3645,1355
suboptimal-left-centered,824985,824999,182,3920,4032,265,3639,3591,3705,2991
suboptimal-left-centered,825000,825014,181,3917,4042,2593,3644,3688,3756,3287
suboptimal-left-centered,825014,825028,180,3911,4048,3131,3646,3756,3798,3366
suboptimal-left-centered,825029,825043,180,3901,4047,3252,3644,3783,3828,3378
suboptimal-left-centered,825043,825057,179,3881,4043,3249,3630,3777,3854,3366
suboptimal-left-centered,825058,825072,179,3855,4039,3177,3612,3764,3871,3333
suboptimal-left-centered,825073,825087,179,3825,4030,3023,3584,3736,3879,3261
suboptimal-left-centered,825087,825101,179,3779,4015,2754,3554,3705,3884,3105
suboptimal-left-centered,825102,825116,179,3723,3999,1657,3497,3664,3878,2700
suboptimal-left-centered,825116,825130,179,3678,3979,264,3434,3614,3873,1323
