label,timestamp1,timestamp2,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8
undetermined,949254,949268,177,169,168,171,180,187,179,179
undetermined,949268,949282,177,169,169,171,180,187,179,179
undetermined,949283,949297,177,169,169,171,180,187,179,179
undetermined,949297,949311,177,170,168,171,180,186,179,179
undetermined,949312,949326,177,169,169,171,180,187,179,179
undetermined,949326,949340,177,170,168,171,180,187,179,179
undetermined,949341,949355,177,170,168,171,180,187,179,179
undetermined,949356,949370,177,170,169,171,180,187,179,179
undetermined,949370,949384,177,169,168,171,180,187,179,179
undetermined,949385,949399,177,169,169,171,180,187,179,179
undetermined,949399,949413,177,170,168,171,180,187,179,179
undetermined,949414,949428,177,169,169,171,180,187,179,179
undetermined,949429,949443,177,169,169,171,180,186,179,179
undetermined,949443,949457,177,170,168,171,180,186,179,179
undetermined,949458,949472,177,169,169,171,180,187,179,179
undetermined,949472,949486,177,170,168,171,180,187,179,179
undetermined,949487,949501,177,169,168,171,180,186,179,179
undetermined,949502,949516,177,170,168,171,180,187,178,179
undetermined,949516,949530,177,170,169,171,180,186,179,179
undetermined,949531,949545,177,170,168,172,180,186,179,179
undetermined,949545,949559,177,169,169,171,180,187,179,179
undetermined,949560,949574,177,170,169,171,180,187,179,179
undetermined,949575,949589,177,170,168,172,180,187,178,179
undetermined,949589,949603,177,170,168,171,180,187,179,179
undetermined,949604,949618,177,170,169,171,180,187,179,179
undetermined,949618,949632,177,170,169,171,180,186,179,179
undetermined,949633,949647,177,169,168,171,180,187,179,179
undetermined,949647,949661,177,169,168,171,180,187,179,179
undetermined,949662,949676,177,170,168,171,180,187,179,179
undetermined,949677,949691,177,169,168,171,180,187,179,179
undetermined,949691,949705,177,169,168,171,180,186,179,179
undetermined,949706,949720,177,169,168,171,180,187,179,179
undetermined,949720,949734,177,170,168,171,181,187,179,179
undetermined,949735,949749,177,170,169,171,180,187,179,179
undetermined,949750,949764,177,170,169,171,180,187,179,179
undetermined,949764,949778,177,170,168,172,180,187,179,179
undetermined,949779,949793,177,170,168,171,180,187,179,179
undetermined,949793,949807,177,170,168,171,180,186,178,179
undetermined,949808,949822,177,170,169,171,180,186,179,179
undetermined,949823,949837,177,170,168,171,180,187,179,179
undetermined,949837,949851,177,170,168,171,180,186,179,179
undetermined,949852,949866,177,169,168,171,180,187,179,179
undetermined,949866,949880,177,170,168,171,180,186,179,179
undetermined,949881,949895,177,170,169,171,180,187,178,179
undetermined,949896,949910,177,170,168,171,180,187,179,179
undetermined,949910,949924,177,170,168,171,180,187,179,179
undetermined,949925,949939,177,169,169,171,180,187,179,179
undetermined,949939,949953,177,170,169,171,180,187,179,179
undetermined,949954,949968,177,170,168,171,180,186,178,179
undetermined,949968,949982,177,169,168,171,180,187,179,179
undetermined,949983,949997,177,170,168,171,180,187,179,179
undetermined,949998,950012,177,170,168,171,180,187,179,179
undetermined,950012,950026,177,169,169,171,180,186,178,179
undetermined,950027,950041,177,170,169,171,180,187,179,179
undetermined,950041,950055,177,170,168,171,180,186,179,179
undetermined,950056,950070,177,170,168,171,180,187,179,179
undetermined,950071,950085,177,170,169,171,180,187,178,179
undetermined,950085,950099,177,169,168,171,180,187,179,179
undetermined,950100,950114,177,170,169,171,180,187,179,179
undetermined,950114,950128,177,170,168,171,180,186,178,179
undetermined,950129,950143,177,170,169,171,180,187,178,179
undetermined,950143,950157,177,170,168,171,180,186,179,179
undetermined,950158,950172,177,170,169,171,180,186,179,179
undetermined,950173,950187,177,169,168,171,180,187,179,179
undetermined,950187,950201,177,169,169,171,180,187,179,179
undetermined,950202,950216,177,169,169,171,180,187,179,179
undetermined,950216,950230,177,170,168,171,180,186,178,179
undetermined,950231,950245,177,170,168,171,180,187,178,179
undetermined,950246,950260,177,170,168,171,180,187,179,179
undetermined,950260,950274,177,170,168,172,180,187,179,179
undetermined,950275,950289,177,170,169,171,180,187,179,179
undetermined,950289,950303,177,170,168,171,180,187,179,179
undetermined,950304,950318,177,169,169,171,180,186,178,179
undetermined,950319,950333,177,169,169,171,180,186,179,179
undetermined,950333,950347,177,170,168,171,180,186,178,179
undetermined,950348,950362,177,170,168,171,180,186,179,179
undetermined,950362,950376,177,169,168,171,180,187,178,179
undetermined,950377,950391,177,170,168,171,180,187,178,179
undetermined,950392,950406,177,170,168,171,180,187,179,179
undetermined,950406,950420,177,170,168,171,180,187,178,179
undetermined,950421,950435,177,170,168,171,180,186,179,179
undetermined,950435,950449,177,169,169,171,180,187,178,179
undetermined,950450,950464,177,170,168,171,180,187,179,179
undetermined,950464,950478,177,170,168,171,180,186,178,179
undetermined,950479,950493,177,170,169,171,180,187,179,179
undetermined,950494,950508,177,170,169,171,180,187,178,179
undetermined,950508,950522,177,170,168,171,180,186,179,179
undetermined,950523,950537,177,170,169,171,180,186,179,179
undetermined,950537,950551,177,169,168,171,180,187,178,179
undetermined,950552,950566,177,170,168,171,180,187,178,179
undetermined,950567,950581,177,170,168,171,180,187,179,179
