label,timestamp1,timestamp2,FP1_variance,FP1_min,FP1_max,FP2_variance,FP2_min,FP2_max,FP3_variance,FP3_min,FP3_max,FP4_variance,FP4_min,FP4_max,FP5_variance,FP5_min,FP5_max,FP6_variance,FP6_min,FP6_max,FP7_variance,FP7_min,FP7_max,FP8_variance,FP8_min,FP8_max
suboptimal-left-centered,,,3.0764007568359375,176.0,185.0,558326.5,423.0,3970.0,3235260.5,189.0,4062.0,1441353.5,182.0,3601.0,1141501.25,201.0,3646.0,156851.25,2051.0,3790.0,2138843.25,209.0,3948.0,1936200.5,182.0,3657.0
suboptimal-left-centered,,,3.0764007568359375,176.0,185.0,557177.0625,423.0,3970.0,3233008.0,190.0,4062.0,1440350.125,183.0,3601.0,1192320.125,201.0,3646.0,153169.890625,2051.0,3790.0,2094666.875,209.0,3948.0,1943648.625,182.0,3657.0
suboptimal-left-centered,,,3.0764007568359375,176.0,185.0,556726.1875,423.0,3970.0,3234270.0,190.0,4062.0,1439788.625,183.0,3601.0,1194005.25,201.0,3646.0,154958.71875,2051.0,3790.0,2049681.625,209.0,3948.0,1941447.0,182.0,3657.0
suboptimal-left-centered,,,3.0764007568359375,176.0,185.0,557466.75,423.0,3970.0,3234227.0,190.0,4062.0,1439462.875,183.0,3601.0,1196573.25,201.0,3646.0,161380.34375,2051.0,3790.0,2003665.625,209.0,3948.0,1930665.625,182.0,3657.0
suboptimal-left-centered,,,3.0675013065338135,176.0,185.0,559235.75,423.0,3970.0,3232342.0,190.0,4062.0,1439177.5,183.0,3601.0,1200577.875,201.0,3646.0,179915.484375,1888.0,3790.0,1956414.75,209.0,3948.0,1921678.375,182.0,3657.0
suboptimal-left-centered,,,3.099597692489624,176.0,185.0,561489.125,423.0,3970.0,3228386.25,190.0,4062.0,1438839.375,183.0,3601.0,1205465.875,201.0,3646.0,194603.078125,1888.0,3790.0,1907884.375,209.0,3948.0,1931554.875,182.0,3657.0
suboptimal-left-centered,,,3.0999999046325684,176.0,185.0,563941.0625,423.0,3970.0,3222173.75,190.0,4062.0,1438277.25,183.0,3601.0,1211792.75,201.0,3646.0,196023.21875,1888.0,3790.0,1857762.375,209.0,3948.0,1955207.5,182.0,3657.0
suboptimal-left-centered,,,3.099597692489624,176.0,185.0,566479.125,423.0,3970.0,3213483.25,190.0,4062.0,1436983.875,183.0,3601.0,1218720.375,201.0,3646.0,195985.515625,1888.0,3790.0,1805808.75,209.0,3948.0,1985550.125,182.0,3657.0
suboptimal-left-centered,,,3.0983965396881104,176.0,185.0,569265.4375,423.0,3970.0,3202193.0,190.0,4062.0,1442819.0,183.0,3601.0,1226139.875,201.0,3646.0,196357.0,1888.0,3790.0,1751745.0,209.0,3948.0,2016760.625,182.0,3657.0
suboptimal-left-centered,,,3.096400737762451,176.0,185.0,572011.0625,423.0,3970.0,3187931.75,190.0,4062.0,1479320.625,183.0,3601.0,1233993.875,201.0,3646.0,197524.453125,1888.0,3790.0,1695363.5,209.0,3948.0,2047612.125,182.0,3657.0
