label,timestamp1,timestamp2,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,ToF
19524-testCPR-stationary,949254,949268,177.0,169.0,168.0,171.0,180.0,187.0,179.0,179.0,72.0
19524-testCPR-stationary,949268,949282,177.0,169.0,169.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,949283,949297,177.0,169.0,169.0,171.0,180.0,187.0,179.0,179.0,75.0
19524-testCPR-stationary,949297,949311,177.0,170.0,168.0,171.0,180.0,186.0,179.0,179.0,73.0
19524-testCPR-stationary,949312,949326,177.0,169.0,169.0,171.0,180.0,187.0,179.0,179.0,75.0
19524-testCPR-stationary,949326,949340,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,76.0
19524-testCPR-stationary,949341,949355,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,72.0
19524-testCPR-stationary,949356,949370,177.0,170.0,169.0,171.0,180.0,187.0,179.0,179.0,75.0
19524-testCPR-stationary,949370,949384,177.0,169.0,168.0,171.0,180.0,187.0,179.0,179.0,76.0
19524-testCPR-stationary,949385,949399,177.0,169.0,169.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,949399,949413,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,949414,949428,177.0,169.0,169.0,171.0,180.0,187.0,179.0,179.0,77.0
19524-testCPR-stationary,949429,949443,177.0,169.0,169.0,171.0,180.0,186.0,179.0,179.0,73.0
19524-testCPR-stationary,949443,949457,177.0,170.0,168.0,171.0,180.0,186.0,179.0,179.0,74.0
19524-testCPR-stationary,949458,949472,177.0,169.0,169.0,171.0,180.0,187.0,179.0,179.0,73.0
19524-testCPR-stationary,949472,949486,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,75.0
19524-testCPR-stationary,949487,949501,177.0,169.0,168.0,171.0,180.0,186.0,179.0,179.0,74.0
19524-testCPR-stationary,949502,949516,177.0,170.0,168.0,171.0,180.0,187.0,178.0,179.0,73.0
19524-testCPR-stationary,949516,949530,177.0,170.0,169.0,171.0,180.0,186.0,179.0,179.0,75.0
19524-testCPR-stationary,949531,949545,177.0,170.0,168.0,172.0,180.0,186.0,179.0,179.0,73.0
19524-testCPR-stationary,949545,949559,177.0,169.0,169.0,171.0,180.0,187.0,179.0,179.0,76.0
19524-testCPR-stationary,949560,949574,177.0,170.0,169.0,171.0,180.0,187.0,179.0,179.0,72.0
19524-testCPR-stationary,949575,949589,177.0,170.0,168.0,172.0,180.0,187.0,178.0,179.0,74.0
19524-testCPR-stationary,949589,949603,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,73.0
19524-testCPR-stationary,949604,949618,177.0,170.0,169.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,949618,949632,177.0,170.0,169.0,171.0,180.0,186.0,179.0,179.0,76.0
19524-testCPR-stationary,949633,949647,177.0,169.0,168.0,171.0,180.0,187.0,179.0,179.0,75.0
19524-testCPR-stationary,949647,949661,177.0,169.0,168.0,171.0,180.0,187.0,179.0,179.0,75.0
19524-testCPR-stationary,949662,949676,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,71.0
19524-testCPR-stationary,949677,949691,177.0,169.0,168.0,171.0,180.0,187.0,179.0,179.0,77.0
19524-testCPR-stationary,949691,949705,177.0,169.0,168.0,171.0,180.0,186.0,179.0,179.0,76.0
19524-testCPR-stationary,949706,949720,177.0,169.0,168.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,949720,949734,177.0,170.0,168.0,171.0,181.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,949735,949749,177.0,170.0,169.0,171.0,180.0,187.0,179.0,179.0,73.0
19524-testCPR-stationary,949750,949764,177.0,170.0,169.0,171.0,180.0,187.0,179.0,179.0,76.0
19524-testCPR-stationary,949764,949778,177.0,170.0,168.0,172.0,180.0,187.0,179.0,179.0,75.0
19524-testCPR-stationary,949779,949793,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,949793,949807,177.0,170.0,168.0,171.0,180.0,186.0,178.0,179.0,74.0
19524-testCPR-stationary,949808,949822,177.0,170.0,169.0,171.0,180.0,186.0,179.0,179.0,74.0
19524-testCPR-stationary,949823,949837,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,949837,949851,177.0,170.0,168.0,171.0,180.0,186.0,179.0,179.0,74.0
19524-testCPR-stationary,949852,949866,177.0,169.0,168.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,949866,949880,177.0,170.0,168.0,171.0,180.0,186.0,179.0,179.0,73.0
19524-testCPR-stationary,949881,949895,177.0,170.0,169.0,171.0,180.0,187.0,178.0,179.0,72.0
19524-testCPR-stationary,949896,949910,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,77.0
19524-testCPR-stationary,949910,949924,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,75.0
19524-testCPR-stationary,949925,949939,177.0,169.0,169.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,949939,949953,177.0,170.0,169.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,949954,949968,177.0,170.0,168.0,171.0,180.0,186.0,178.0,179.0,73.0
19524-testCPR-stationary,949968,949982,177.0,169.0,168.0,171.0,180.0,187.0,179.0,179.0,75.0
19524-testCPR-stationary,949983,949997,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,73.0
19524-testCPR-stationary,949998,950012,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,950012,950026,177.0,169.0,169.0,171.0,180.0,186.0,178.0,179.0,76.0
19524-testCPR-stationary,950027,950041,177.0,170.0,169.0,171.0,180.0,187.0,179.0,179.0,75.0
19524-testCPR-stationary,950041,950055,177.0,170.0,168.0,171.0,180.0,186.0,179.0,179.0,74.0
19524-testCPR-stationary,950056,950070,177.0,170.0,168.0,171.0,180.0,187.0,179.0,179.0,76.0
19524-testCPR-stationary,950071,950085,177.0,170.0,169.0,171.0,180.0,187.0,178.0,179.0,71.0
19524-testCPR-stationary,950085,950099,177.0,169.0,168.0,171.0,180.0,187.0,179.0,179.0,72.0
19524-testCPR-stationary,950100,950114,177.0,170.0,169.0,171.0,180.0,187.0,179.0,179.0,73.0
19524-testCPR-stationary,950114,950128,177.0,170.0,168.0,171.0,180.0,186.0,178.0,179.0,74.0
19524-testCPR-stationary,950129,950143,177.0,170.0,169.0,171.0,180.0,187.0,178.0,179.0,76.0
19524-testCPR-stationary,950143,950157,177.0,170.0,168.0,171.0,180.0,186.0,179.0,179.0,76.0
19524-testCPR-stationary,950158,950172,177.0,170.0,169.0,171.0,180.0,186.0,179.0,179.0,72.0
19524-testCPR-stationary,950173,950187,177.0,169.0,168.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,950187,950201,177.0,169.0,169.0,171.0,180.0,187.0,179.0,179.0,74.0
19524-testCPR-stationary,950202,950216,177.0,169.0,169.0,171.0,180.0,187.0,179.0,179.0,73.0
