label,timestamp1,timestamp2,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,ToF
19524-testCPR-wtforce-correct_fp,373959,373973,174.0,649.0,194.0,189.0,201.0,2381.0,665.0,181.0,68.0
19524-testCPR-wtforce-correct_fp,373973,373987,174.0,749.0,197.0,189.0,198.0,2366.0,754.0,182.0,67.0
19524-testCPR-wtforce-correct_fp,373988,374002,174.0,656.0,198.0,190.0,196.0,2340.0,879.0,182.0,68.0
19524-testCPR-wtforce-correct_fp,374002,374016,174.0,676.0,197.0,189.0,194.0,2189.0,1038.0,182.0,69.0
19524-testCPR-wtforce-correct_fp,374017,374031,174.0,914.0,196.0,188.0,195.0,1963.0,1209.0,182.0,68.0
19524-testCPR-wtforce-correct_fp,374031,374045,174.0,1192.0,194.0,188.0,197.0,1772.0,1358.0,182.0,69.0
19524-testCPR-wtforce-correct_fp,374046,374060,174.0,1528.0,193.0,187.0,199.0,1625.0,1474.0,181.0,68.0
19524-testCPR-wtforce-correct_fp,374061,374075,174.0,1759.0,193.0,186.0,200.0,1503.0,1568.0,181.0,69.0
19524-testCPR-wtforce-correct_fp,374075,374089,174.0,1850.0,192.0,186.0,200.0,1399.0,1646.0,181.0,70.0
19524-testCPR-wtforce-correct_fp,374090,374104,174.0,1847.0,194.0,186.0,200.0,1363.0,1719.0,181.0,68.0
19524-testCPR-wtforce-correct_fp,374104,374118,174.0,1740.0,197.0,186.0,197.0,1434.0,1804.0,182.0,68.0
19524-testCPR-wtforce-correct_fp,374119,374133,174.0,1702.0,201.0,187.0,194.0,1466.0,1900.0,182.0,69.0
19524-testCPR-wtforce-correct_fp,374134,374148,174.0,1857.0,204.0,187.0,193.0,1361.0,2003.0,183.0,68.0
19524-testCPR-wtforce-correct_fp,374148,374162,174.0,2095.0,207.0,186.0,192.0,1141.0,2117.0,184.0,70.0
19524-testCPR-wtforce-correct_fp,374163,374177,174.0,2289.0,208.0,186.0,192.0,896.0,2236.0,184.0,68.0
19524-testCPR-wtforce-correct_fp,374177,374191,175.0,2420.0,209.0,185.0,193.0,730.0,2351.0,184.0,66.0
19524-testCPR-wtforce-correct_fp,374192,374206,174.0,2511.0,211.0,185.0,195.0,658.0,2454.0,184.0,66.0
19524-testCPR-wtforce-correct_fp,374206,374220,175.0,2563.0,212.0,185.0,196.0,607.0,2542.0,184.0,69.0
19524-testCPR-wtforce-correct_fp,374221,374235,174.0,2562.0,210.0,185.0,197.0,548.0,2607.0,184.0,68.0
19524-testCPR-wtforce-correct_fp,374236,374250,174.0,2531.0,207.0,185.0,196.0,482.0,2658.0,183.0,67.0
